KEYS;fr;de

TR_PARTICULIERS_TYPE_ENGAGEMENT;Engagement;Einsatz
TR_PARTICULIERS_TYPE_FORCES_AERIENNES;Forces aériennes;Luftwaffe

TR_PARTICULIERS_ASPIRANT_CARRIERE_NAME;Aspirant militaire de carrière;Anwärter Berufsmilitär
TR_PARTICULIERS_CANDIDAT_CARRIERE_NAME;Candidat militaire de carrière;Kandidat Berufsmilitär
TR_PARTICULIERS_CARRIERE_SPECIALISTE_NAME;Militaire de carrière spécialiste;Fachberufsmilitär
TR_PARTICULIERS_CARRIERE_NAME;Militaire de carrière;Berufsmilitär
TR_PARTICULIERS_CONTRACTUEL_NAME;Militaire contractuel;Zeitmilitär
TR_PARTICULIERS_ECLAIREUR_PARACHUTISTE_NAME;Éclaireur parachutiste;Fallschirmaufklärer
TR_PARTICULIERS_MILICE_NAME;Milice;Milizabzeichen
TR_PARTICULIERS_OPERATEUR_DE_BORD_NAME;Opérateur de bord;Bordoperateur
TR_PARTICULIERS_PILOTE_NAME;Pilote;Pilot